numerical_notes_text,numerical_notes_summary,raga
"[0, 0, 3, 3, 3, 7, 7, 7, 8, 7, 8, 10, 10, 10, 0, 0, 0, 10, 10, 10, 7, 7, 7, 2, 7, 0, 0, 0, 0, 0, 0]","[0, 3, 7, 8, 10, 0, 10, 7]",Bhavapriya
"[0, 0, 0, 5, 5, 9, 9, 9, 9, 7, 2, 7, 7, 4, 4, 11, 11, 11, 2, 2, 2, 2, 2, 2, 6, 2, 11, 11, 11, 11]","[0, 5, 9, 7, 7, 4, 11, 2]",Shankarabharanam
"[0, 0, 0, 5, 5, 9, 9, 7, 7, 9, 2, 7, 7, 4, 4, 11, 11, 11, 2, 2, 2, 2, 2, 2, 8, 2, 11, 0, 11, 11]","[0, 5, 9, 7, 7, 4, 11, 2]",Shankarabharanam
"[0, 0, 0, 0, 0, 5, 9, 7, 7, 7, 7, 7, 7, 4, 4, 11, 11, 11, 2, 2, 9, 2, 2, 2, 9, 9, 9, 11, 11, 11]","[0, 5, 9, 7, 7, 4, 11, 2]",Shankarabharanam
"[0, 0, 0, 5, 5, 9, 5, 7, 7, 7, 7, 7, 7, 4, 4, 11, 11, 11, 2, 2, 2, 2, 2, 2, 0, 0, 11, 11, 11, 11]","[0, 5, 9, 7, 7, 4, 11, 2]",Shankarabharanam
"[0, 0, 0, 0, 0, 5, 9, 7, 7, 2, 7, 7, 7, 4, 4, 11, 11, 11, 2, 2, 9, 2, 2, 2, 9, 9, 0, 0, 0, 0]","[0, 5, 9, 7, 7, 4, 11, 2]",Shankarabharanam
"[7, 7, 7, 7, 4, 4, 5, 9, 9, 9, 9, 2, 2, 2, 2, 0, 0, 0, 11, 0, 11, 11, 11, 3, 11, 11, 11, 11, 11]","[7, 4, 5, 9, 2, 2, 0, 11]",Shankarabharanam
"[7, 7, 7, 7, 4, 4, 5, 9, 9, 9, 2, 2, 2, 2, 2, 0, 0, 0, 11, 0, 11, 11, 11, 3, 11, 11, 11, 11, 11]","[7, 4, 5, 9, 2, 2, 0, 11]",Shankarabharanam
"[2, 7, 4, 4, 4, 5, 5, 9, 9, 5, 9, 2, 2, 0, 2, 0, 0, 0, 11, 0, 11, 11, 11, 11, 11, 0, 11, 11, 11]","[7, 4, 5, 9, 2, 2, 0, 11]",Shankarabharanam
"[7, 7, 4, 4, 4, 5, 5, 5, 9, 4, 2, 2, 2, 2, 2, 0, 2, 0, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]","[7, 4, 5, 9, 2, 2, 0, 11]",Shankarabharanam
"[2, 2, 4, 4, 4, 5, 5, 8, 9, 9, 2, 2, 2, 0, 2, 0, 0, 0, 11, 0, 11, 11, 11, 11, 11, 0, 0, 0, 0]","[7, 4, 5, 9, 2, 2, 0, 11]",Shankarabharanam
"[0, 0, 7, 7, 7, 6, 6, 6, 8, 3, 7, 7, 7, 3, 3, 3, 6, 6, 6, 7, 7, 7, 7, 7, 2, 7, 7, 11, 11, 11]","[0, 7, 6, 8, 7, 3, 6, 7]",Bhavapriya
"[0, 0, 7, 7, 7, 6, 6, 6, 8, 3, 7, 7, 7, 3, 3, 3, 6, 6, 6, 6, 7, 7, 7, 7, 2, 7, 7, 11, 11, 11]","[0, 7, 6, 8, 7, 3, 6, 7]",Bhavapriya
"[0, 0, 7, 0, 7, 6, 6, 6, 8, 8, 2, 7, 7, 3, 3, 3, 6, 6, 6, 7, 6, 6, 0, 7, 0, 0, 0, 11, 11, 11]","[0, 7, 6, 8, 7, 3, 6, 7]",Bhavapriya
"[0, 0, 0, 7, 7, 6, 6, 6, 8, 8, 7, 7, 7, 3, 3, 3, 6, 6, 6, 6, 6, 7, 7, 6, 7, 7, 7, 11, 11, 11]","[0, 7, 6, 8, 7, 3, 6, 7]",Bhavapriya
"[0, 0, 0, 7, 7, 6, 6, 6, 8, 8, 2, 7, 7, 3, 3, 3, 6, 1, 6, 7, 6, 6, 0, 7, 0, 0, 0, 0, 0, 0]","[0, 7, 6, 8, 7, 3, 6, 7]",Bhavapriya
